	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	Longitude	Latitude	item_maurer	item_DWA	Levenshtein_item	z_score_item	phontype_maurer	phontype_DWA	Levenshtein_phontype	z_score_phontype	lextype_maurer	lextype_DWA	Levenshtein_lextype	z_score_lextype
22	Co x 5	III_14_0009	St. Amarin, St. Amarin	7.03186, 47.87365	7.03186	47.87365	āgerschta	agrsta	4	1.3346280430232536	agerschte	agerschte	0	-0.5955950302609602	Agerst	Agerst	0	-0.48323353219796433
23	Co q 5	III_13_0096	Mittlach	7.03325, 48.00405	7.03325	48.00405	hāor	elschter	0	-0.7815579410052661	haur	elschter	0	-0.5955950302609602	Häher	Elster	0	-0.48323353219796433
24	Co x 3	III_14_0010	Malmerspach, Malmerspach	7.03487, 47.86486	7.03487	47.86486	elschter	elster	2	0.27653505100899384	elschter	elschter	0	-0.5955950302609602	Elster	Elster	0	-0.48323353219796433
25	Hag E 9	III_5_0027	Harskirchen, Harskirchen	7.0389, 48.93409	7.0389	48.93409	atzel	atzel	0	-0.7815579410052661	atsel	atsel	0	-0.5955950302609602	Atzel	Atzel	0	-0.48323353219796433
26	Co M10	na	Morzweiler (Mortzwiller)	7.04125, 47.73832	7.04125	47.73832	agerschta	na	999	527.7358915701176	agerschte	na	999	529.1860287263053	Agerst	na	999	529.091394870162
27	Hag E 7	III_5_0024	Keskastel, Keskastel	7.04339, 48.96955	7.04339	48.96955	åzzel	atzel	2	0.27653505100899384	atsel	atsel	0	-0.5955950302609602	Atzel	Atzel	0	-0.48323353219796433
28	Co x 6	III_14_0011	Moosch, Moosch, Moosch	7.04865, 47.86081	7.04865	47.86081	āgerschte	a̠gerschde, a̠gerschtle	3	0.8055815470161238	agerschte	agerschte, agerschtle	999	529.1860287263053	Agerst	Agerst, Agerstle	999	529.091394870162
29	Hag M 12	III_6_0005	Diedendorf, Diedendorf	7.04974, 48.87869	7.04974	48.87869	ātzel	atzel	1	-0.25251144499813616	atsel	atsel	0	-0.5955950302609602	Atzel	Atzel	0	-0.48323353219796433
30	Hag E 8	III_5_0026	Schopperten, Schopperten	7.05316, 48.94524	7.05316	48.94524	atzel	atzel	0	-0.7815579410052661	atsel	atsel	0	-0.5955950302609602	Atzel	Atzel	0	-0.48323353219796433
31	Co T16	na	Menglatt (Magny)	7.05408, 47.6019	7.05408	47.6019	agerstä	na	999	527.7358915701176	agerschte	na	999	529.1860287263053	Agerst	na	999	529.091394870162
32	Co E3	III_14_0090	Sentheim, Sentheim	7.0544, 47.75581	7.0544	47.75581	āgerstä	aagerschtă	5	1.8636745390303837	agerschte	agerschte	0	-0.5955950302609602	Agerst	Agerst	0	-0.48323353219796433
33	Co M2	III_15_0001	Obersulzbach Kreis Tann (Soppe-Le-Haut), Obersulzbach <Morzweiler> Morzweiler steht nur auf S.1	7.05724, 47.73372	7.05724	47.73372	agerschta	agersta	2	0.27653505100899384	agerschte	agerschte	0	-0.5955950302609602	Agerst	Agerst	0	-0.48323353219796433
34	Co x 9	III_14_0013	Geishausen, Geishausen	7.05832, 47.88017	7.05832	47.88017	elschter	elschder	1	-0.25251144499813616	elschter	elschter	0	-0.5955950302609602	Elster	Elster	0	-0.48323353219796433
35	Co T9	III_16_0014	Gottestal, Luttern (Valdieu-Lutran), Gottestal	7.05852, 47.63139	7.05852	47.63139	agerst	agerst	0	-0.7815579410052661	agerscht	agerscht	0	-0.5955950302609602	Agerst	Agerst	0	-0.48323353219796433
36	Co E2	III_14_0091	Niederburbach (Bourbach-Le-Bas), Niederburbach	7.05868, 47.77527	7.05868	47.77527	agerstä	agerschta	3	0.8055815470161238	agerschte	agerschte	0	-0.5955950302609602	Agerst	Agerst	0	-0.48323353219796433
37	Hag T 2	III_7_0006	Kirberg (Kirrberg), Kirberg	7.06204, 48.8233	7.06204	48.8233	åzel	atzel	2	0.27653505100899384	atsel	atsel	0	-0.5955950302609602	Atzel	Atzel	0	-0.48323353219796433
38	Co M7	III_15_0007	St. Kosman, St Kosman (Saint-Cosme)	7.06248, 47.68339	7.06248	47.68339	agerschd	älschdra	0	-0.7815579410052661	agerscht	elschtere	0	-0.5955950302609602	Agerst	Elster	0	-0.48323353219796433
39	Co T1	III_15_0008	Brückensweiler (Bréchaumont), Brückensweiler	7.0684, 47.66973	7.0684	47.66973	hatzla	agerschta	0	-0.7815579410052661	hatsle	agerschte	0	-0.5955950302609602	Hetzle	Agerst	0	-0.48323353219796433
40	Hag M 2	III_6_0002	Pisdorf (Bischtroff-sur-Sarre), Pisdorf	7.06995, 48.9005	7.06995	48.9005	åtzel	atzel	1	-0.25251144499813616	atsel	atsel	0	-0.5955950302609602	Atzel	Atzel	0	-0.48323353219796433
41	Co x 4	III_14_0012	Weiler, Weiler, Weiler	7.07073, 47.84351	7.07073	47.84351	aderste	agerste, elster	1	-0.25251144499813616	aderschte	elschter, agerschte	1	-0.06528309456870167	Agerst	Elster, Agerst	999	529.091394870162
42	Co E13	III_14_0092	Rammersmatt, Rammersmatt	7.07084, 47.78935	7.07084	47.78935	agerschta	agerste	3	0.8055815470161238	agerschte	agerschte	0	-0.5955950302609602	Agerst	Agerst	0	-0.48323353219796433
43	na	III_13_0008	Metzeral	7.07146, 48.01325	7.07146	48.01325	na	eiersta	999	527.7358915701176	na	eierschte	999	529.1860287263053	na	Agerst	999	529.091394870162
44	Co M6	III_15_0004	Bretten Landkreis Altkirch, Bretten	7.0716, 47.69963	7.0716	47.69963	agerstä	alschter	0	-0.7815579410052661	agerschte	elschter	0	-0.5955950302609602	Agerst	Elster	0	-0.48323353219796433
45	Co q 4	III_13_0097	Sondernach	7.07276, 47.99621	7.07276	47.99621	elschter	atzel	0	-0.7815579410052661	elschter	atsel	0	-0.5955950302609602	Elster	Atzel	0	-0.48323353219796433
46	Hag M 11/1, Hag M 11/2	III_6_0003	Wolfskirchen, Wolfskirchen	7.07612, 48.87884	7.07612	48.87884	åtzel, atzel	åtzel	0	-0.7815579410052661	atsel	atsel	0	-0.5955950302609602	Atzel	Atzel	0	-0.48323353219796433
