	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	Longitude	Latitude	item_maurer	item_DWA	Levenshtein_item	z_score_item	phontype_maurer	phontype_DWA	Levenshtein_phontype	z_score_phontype	lextype_maurer	lextype_DWA	Levenshtein_lextype	z_score_lextype
2175	SIG n6	III_36_0079	Leustetten, Leustetten	9.29433, 47.80634	9.29433	47.80634	flie̠ge	fliege	1	-0.25251144499813616	fliäge	fliege	1	-0.06528309456870167	Fliege	Fliege	0	-0.48323353219796433
2176	MH v2	II_57_0138	Rippberg, Rippberg	9.29762, 49.62253	9.29762	49.62253	mugge	mugge	0	-0.7815579410052661	muke	muke	0	-0.5955950302609602	Mücke	Mücke	0	-0.48323353219796433
2177	SIG q5	III_37_0044	Grasbeuren, Grasbeuren	9.29766, 47.73029	9.29766	47.73029	fliege	flieg	1	-0.25251144499813616	fliege	flieg	1	-0.06528309456870167	Fliege	Fliege	0	-0.48323353219796433
2178	SIG q4	III_37_0043	Buggensegel, Buggensegel	9.29936, 47.74645	9.29936	47.74645	fliēg	fliege	2	0.27653505100899384	fliäg	fliege	2	0.4650288411235568	Fliege	Fliege	0	-0.48323353219796433
2179	MH Y4	III_18_0076	Stein am Kocher, Stein	9.29954, 49.26198	9.29954	49.26198	mugge	mugge	0	-0.7815579410052661	muke	muke	0	-0.5955950302609602	Mücke	Mücke	0	-0.48323353219796433
2180	SIG q9	na	Stetten	9.2999, 47.69243	9.2999	47.69243	fliëg	na	999	527.7358915701176	fliäg	na	999	529.1860287263053	Fliege	na	999	529.091394870162
2181	SIG n11	III_36_0082	Weildorf, Weildorf	9.30037, 47.78969	9.30037	47.78969	fliag	fliag	0	-0.7815579410052661	fliäg	flieg	1	-0.06528309456870167	Fliege	Fliege	0	-0.48323353219796433
2182	SIG k3	III_35_0071, III_35_0073, III_35_0072, III_35_0074	Denkingen, Denkingen	9.30821, 47.89505	9.30821	47.89505	fliaga	fluige, fliēge	2	0.27653505100899384	fliäge	fliäge, fluige	0	-0.5955950302609602	Fliege	Fliege	0	-0.48323353219796433
2183	MH v1	II_57_0140	Gottersdorf, Gottersdorf	9.31064, 49.63751	9.31064	49.63751	mugge	mucke	2	0.27653505100899384	muke	muke	0	-0.5955950302609602	Mücke	Mücke	0	-0.48323353219796433
2184	SIG n14	na	Neufrach	9.31134, 47.75967	9.31134	47.75967	fliegă	na	999	527.7358915701176	fliege	na	999	529.1860287263053	Fliege	na	999	529.091394870162
2185	SIG n5	III_36_0072	Heiligenberg, Heiligenberg	9.31203, 47.81993	9.31203	47.81993	flieg	fliege	1	-0.25251144499813616	flieg	fliege	1	-0.06528309456870167	Fliege	Fliege	0	-0.48323353219796433
2186	MH M12	II_59_0121	Bödigheim, Bödigheim	9.31522, 49.47408	9.31522	49.47408	muck	muck	0	-0.7815579410052661	muk	muk	0	-0.5955950302609602	Mücke	Mücke	0	-0.48323353219796433
2187	MH v3	II_57_0139	Gerolzahn, Gerolzahn	9.31895, 49.62645	9.31895	49.62645	mugge	muck	3	0.8055815470161238	muke	muk	1	-0.06528309456870167	Mücke	Mücke	0	-0.48323353219796433
2188	SIG q10	III_37_0048	Hagnau, Hagnau	9.31963, 47.67634	9.31963	47.67634	fliëg	fliëg	0	-0.7815579410052661	fliäg	flieg	1	-0.06528309456870167	Fliege	Fliege	0	-0.48323353219796433
2189	SIG n10	III_36_0073	Beuren, Beuren	9.32135, 47.80541	9.32135	47.80541	fliĕge	fliege	1	-0.25251144499813616	fliäge	fliege	1	-0.06528309456870167	Fliege	Fliege	0	-0.48323353219796433
2190	SIG q6	III_37_0045, III_37_0046	Ahausen, Ahausen	9.32247, 47.72502	9.32247	47.72502	fliege, flig	flieg, flig	0	-0.7815579410052661	flieg, fliege	flieg, flig	0	-0.5955950302609602	Fliege	Fliege	0	-0.48323353219796433
2191	SIG n15	III_36_0080	Röhrenbach, Röhrenbach	9.3248, 47.82972	9.3248	47.82972	fliëge	flieg	2	0.27653505100899384	fliäge	flieg	2	0.4650288411235568	Fliege	Fliege	0	-0.48323353219796433
2192	MH n1	II_55_0129, II_55_0128	Freudenberg, Freudenberg	9.32533, 49.75145	9.32533	49.75145	mugge	mucke	2	0.27653505100899384	muke	muke	0	-0.5955950302609602	Mücke	Mücke	0	-0.48323353219796433
2193	MH D6	II_58_0114	Buchen, Buchen	9.32603, 49.52041	9.32603	49.52041	mugge	mucke	2	0.27653505100899384	muke	muke	0	-0.5955950302609602	Mücke	Mücke	0	-0.48323353219796433
2194	SIG k4	na	Echbeck/Rickertsreute/Boshasel	9.32995, 47.85865	9.32995	47.85865	fliëge	na	999	527.7358915701176	fliäge	na	999	529.1860287263053	Fliege	na	999	529.091394870162
2195	na	III_35_0081	Echbeck	9.32995, 47.8587	9.32995	47.8587	na	fliëge	999	527.7358915701176	na	fliäge	999	529.1860287263053	na	Fliege	999	529.091394870162
