lfd	Fragebogen	Ort	GID	LONG	LAT	org	item	phontype	lextype	belegnr.	erhebung	korrektur
na	III_12_0093	Hausen	24397	7.37665	48.125	Gagummer	gagummer	gagummer	Gugummer	1	DWA	na
na	III_12_0094	Holzweier	24321	7.42541	48.11028	Gogommer (w)	gogommer	gagommer	Gugummer	1	DWA	na
na	III_12_0095	Wickerschweier	32202	7.43868	48.10708	Guggumer (d', w)	guggumer	gugummer	Gugummer	1	DWA	na
na	III_12_0096	Munzenheim	33922, 33922	7.47318	48.10199	Gugummere (w)	gugummere	gugummere	Gugummer	1	DWA	na
na	III_12_0097	Dürrenenzen	25196	7.50406	48.09192	Gǔgǔmmer	gǔgǔmmer	gugummer	Gugummer	1	DWA	na
na	III_12_0098	Urschenheim	27678	7.48632	48.08696	Gugummer	gugummer	gugummer	Gugummer	1	DWA	na
na	III_12_0099	Fortschweier	25090	7.45233	48.08996	Gogommer (w)	gogommer	gagommer	Gugummer	1	DWA	na
na	III_12_0100	Bischweier	27202	7.43735	48.09944	Gugummere (w)	gugummere	gugummere	Gugummer	1	DWA	na
na	III_12_0101	Weier auf dem Land	544443	7.41118	48.0844	Gōgōmmer (oo=on)	gōgōmmer	gagommer	Gugummer	1	DWA	na
na	III_12_0102	Markolsheim	30078	7.54583	48.1675	Gagummer	gagummer	gagummer	Gugummer	1	DWA	na
na	III_12_0103	Sasbach	132742	7.61363	48.13798	Gugumerä	gugumerä	gugummere	Gugummer	1	DWA	na
na	III_12_0104	Königschaffhausen	130242	7.65562	48.13337	Gugumere	gugumere	gugummere	Gugummer	1	DWA	na
na	III_12_0105	Kiechlinsbergen	130822	7.65306	48.12469	Gugumra	gugumra	gugummere	Gugummer	1	DWA	na
na	III_12_0106	Bischoffingen	127778	7.62537	48.10625	Gugummer (w)	gugummer	gugummer	Gugummer	1	DWA	na
na	III_12_0107	Oberrotweil	127679	7.63551	48.08944	Gugummera (w)	gugummera	gugummere	Gugummer	1	DWA	na
na	III_12_0108	Burkheim am Kaiserstuhl	133742	7.59943	48.10194	Gukummere	gukummere	gugummere	Gugummer	1	DWA	na
na	III_12_0109	Balzenheim	26949	7.55624	48.09319	Gugumre	gugumre	gugummere	Gugummer	1	DWA	na
na	III_12_0110	Arzenheim	26388	7.5426	48.11609	Gugummer (w)	gugummer	gugummer	Gugummer	1	DWA	na
na	III_12_0111	Bahlingen	132837	7.73937	48.12209	Gugummere	gugummere	gugummere	Gugummer	1	DWA	na
na	III_12_0112	Heimbach	131884	7.82936	48.1638	Guggummere (w)	guggummere	gugummere	Gugummer	1	DWA	na
na	III_12_0113	Riegel	129031	7.7507	48.15056	Gugummere	gugummere	gugummere	Gugummer	1	DWA	na
na	III_12_0114	Köndringen	131747	7.80591	48.13912	Gugumere (w)	gugumere	gugummere	Gugummer	1	DWA	na
