Ort	Longitude	Latitude	Levenshtein Item Min	z_score	morans_i
Sipplingen	9.09665	47.79525	2	0.3341873922037386	0.14411590484149406
Langenrain	9.07596	47.76281	0	-0.6063015950399561	-0.2939806786862105
Urberg	8.12409	47.73478	1	-0.13605710141810876	-0.05989166579860819
Wittenschwand	8.10083	47.72846	3	0.8044318858255859	0.7525863788546683
Ibach	8.07077	47.73259	10	4.096143341178517	3.058346929857038
Wehrhalden	8.01061	47.70213	9	3.62589884755667	2.9488233013384533
Grossherrischwand	8.01017	47.6797	2	0.3341873922037386	0.34111364605929606
Strittmatt und Engelschwand	8.04718	47.66382	1	-0.13605710141810876	-0.15985042403491528
Hartschwand, Hartschwand	8.0655	47.67119	1	-0.13605710141810876	-0.14728019877713278
Hierbach - Wilfingen	8.09123	47.686	1	-0.13605710141810876	-0.14386902235634064
Wolpadingen	8.10774	47.69861	9	3.62589884755667	3.109080355943376
Immeneich	8.12543	47.69719	0	-0.6063015950399561	-0.3576031670972375
Remetschwiel/Brunnadern	8.14553	47.68929	0	-0.6063015950399561	-0.34043648200445986
Remetschwiel und Bannholz, Remetschwiel und Bannholz, Bannholz, Bannholz	8.167	47.67614	0	-0.6063015950399561	-0.4788030067621636
Tiefenhäusern	8.14547	47.70277	9	3.62589884755667	1.9333785195826803
Schlageten	8.12512	47.71178	0	-0.6063015950399561	-0.3978650364707027
Fröhnd, Fröhnd	8.07717	47.70011	0	-0.6063015950399561	-0.6825371038100947
Attlisberg	8.16607	47.72173	1	-0.13605710141810876	-0.08673143991922629
Höchenschwand	8.16491	47.73427	1	-0.13605710141810876	-0.07204648572185944
Amrigschwand	8.1855	47.71974	1	-0.13605710141810876	-0.06788934810988059
Brenden	8.22606	47.72946	3	0.8044318858255859	0.4114905507470388
