Ort	Longitude	Latitude	Levenshtein Item Min	z_score	morans_i
Lamgertheim	7.70087	48.65016	2	0.16660402140537486	-0.032234352308817424
Pfulgriesheim	7.67069	48.64279	0	-0.7988067812025565	0.1318151084887346
Dingsheim, Griesheim	7.66779	48.62966	1	-0.31610137989859083	0.03607176394087812
Suffelweyersheim	7.74147	48.6355	2	0.16660402140537486	-0.028502968373373412
Niederhausbergen	7.70033	48.62313	0	-0.7988067812025565	0.07762795695661401
Mittelhausbergen	7.69275	48.61406	0	-0.7988067812025565	0.09220690455697299
Straßburg	7.73609	48.58523	0	-0.7988067812025565	0.11466592414640371
Schiltigheim	7.74856	48.60595	3	0.6493094227093406	-0.17666954466664522
Straßburg-Bischheim	7.75254	48.61483	3	0.6493094227093406	-0.15571072548617113
Hönheim	7.75526	48.62105	0	-0.7988067812025565	0.14871849877128415
Straßburg-Oberhausbergen	7.68507	48.60569	1	-0.31610137989859083	0.07409212651059675
Straßburg-Ruprechtsau	7.80059	48.61004	1	-0.31610137989859083	-0.024485717399282545
Rheinbischofsheim	7.92904	48.65493	4	1.1320148240133063	0.5684089746303636
Diersheim, Diersheim	7.8874	48.64789	2	0.16660402140537486	0.04382793626829597
Honau	7.87132	48.64025	2	0.16660402140537486	0.03101558248926682
Leutesheim	7.85613	48.62423	2	0.16660402140537486	0.0367177164623256
Linx	7.89706	48.62687	5	1.614720225317272	0.6986241652577363
Holzhausen	7.92018	48.62595	6	2.097425626621238	0.6954338601489913
Wagshurst	7.99491	48.62035	9	3.5455418305331348	0.7439443427304394
Zierolshofen	7.9036	48.60838	1	-0.31610137989859083	-0.1310416244614145
Auenheim	7.83597	48.6051	4	1.1320148240133063	0.14185864855243377
Bodersweier	7.87462	48.60047	3	0.6493094227093406	0.1089995489256834
Oberhaslach, Oberhaslach	7.33046	48.5499	2	0.16660402140537486	-0.014037507664281813
